date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:19:52	188508/188508	---M--	200	added ('OK')	application/octet-stream	etag:%225a8c26e2-2e05c%22	https://thunder-team.com/friend-finder/fonts/ionicons.ttf?v=2.0.0	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/fonts/ionicons28b5.ttf	(from https://thunder-team.com/friend-finder/css/ionicons.min.css)
08:19:52	165742/165742	---M--	200	added ('OK')	application/octet-stream	etag:%225a8c26d6-2876e%22	https://thunder-team.com/friend-finder/fonts/fontawesome-webfont.eot?v=4.7.0	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/fonts/fontawesome-webfont3e6e.eot	(from https://thunder-team.com/friend-finder/css/font-awesome.min.css)
08:19:52	333834/333834	---M--	200	added ('OK')	image/svg+xml	etag:%225a8c26e3-5180a%22	https://thunder-team.com/friend-finder/fonts/ionicons.svg?v=2.0.0	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/fonts/ionicons28b5.svg	(from https://thunder-team.com/friend-finder/css/ionicons.min.css)
08:19:53	165742/165742	---M--	200	added ('OK')	application/octet-stream	etag:%225a8c26d6-2876e%22	https://thunder-team.com/friend-finder/fonts/fontawesome-webfont.eot?	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/fonts/fontawesome-webfontd41d.eot	(from https://thunder-team.com/friend-finder/css/font-awesome.min.css)
08:19:53	77160/77160	---M--	200	added ('OK')	application/octet-stream	etag:%225a8c26db-12d68%22	https://thunder-team.com/friend-finder/fonts/fontawesome-webfont.woff2?v=4.7.0	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/fonts/fontawesome-webfont3e6e.woff2	(from https://thunder-team.com/friend-finder/css/font-awesome.min.css)
08:19:53	98024/98024	---M--	200	added ('OK')	application/octet-stream	etag:%225a8c26d9-17ee8%22	https://thunder-team.com/friend-finder/fonts/fontawesome-webfont.woff?v=4.7.0	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/fonts/fontawesome-webfont3e6e.woff	(from https://thunder-team.com/friend-finder/css/font-awesome.min.css)
08:19:53	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%225a8c26d9-286ac%22	https://thunder-team.com/friend-finder/fonts/fontawesome-webfont.ttf?v=4.7.0	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/fonts/fontawesome-webfont3e6e.ttf	(from https://thunder-team.com/friend-finder/css/font-awesome.min.css)
08:19:54	10661/10661	---M--	200	added ('OK')	image/png	etag:%225a8c26ea-29a5%22	https://thunder-team.com/friend-finder/images/bottom-shadow.png	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/images/bottom-shadow.png	(from https://thunder-team.com/friend-finder/index.html)
08:19:54	123675/123675	---M--	200	added ('OK')	image/png	etag:%225a8c2c7c-1e31b%22	https://thunder-team.com/friend-finder/images/face-map.png	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/images/face-map.png	(from https://thunder-team.com/friend-finder/index.html)
08:19:54	2845/2845	---M--	200	added ('OK')	image/png	etag:%225a8c26e9-b1d%22	https://thunder-team.com/friend-finder/images/app-store.png	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/images/app-store.png	(from https://thunder-team.com/friend-finder/index.html)
